Order ID,Product,Quantity Ordered,Price Each,Order Date,Street Address,City,State
183128,AAA Batteries (4-pack),4,2.99,2021-01-12 21:46:00,911 Johnson St,San Francisco,CA
183129,Wired Headphones,1,11.99,2021-01-03 17:19:00,680 Park St,San Francisco,CA
183133,Lightning Charging Cable,2,14.95,2021-01-13 12:57:00,936 13th St,Atlanta,GA
183134,AAA Batteries (4-pack),1,2.99,2021-01-29 05:42:00,285 Pine St,San Francisco,CA
183136,USB-C Charging Cable,2,11.95,2021-01-04 21:35:00,927 Church St,Boston,MA
183137,34in Ultrawide Monitor,1,379.99,2021-01-29 16:52:00,278 12th St,Los Angeles,CA
183144,iPhone,1,700.0,2021-01-11 14:54:00,69 12th St,Los Angeles,CA
183147,Lightning Charging Cable,2,14.95,2021-01-02 03:46:00,541 13th St,New York City,NY
183149,AA Batteries (4-pack),4,3.84,2021-01-29 07:54:00,13 Spruce St,San Francisco,CA
183165,Lightning Charging Cable,1,14.95,2021-01-09 19:05:00,89 Cherry St,Boston,MA
183179,27in FHD Monitor,1,149.99,2021-01-31 16:24:00,931 10th St,San Francisco,CA
183179,Wired Headphones,2,11.99,2021-01-31 16:24:00,931 10th St,San Francisco,CA
183184,USB-C Charging Cable,2,11.95,2021-01-14 14:45:00,774 10th St,San Francisco,CA
183185,Wired Headphones,2,11.99,2021-01-09 12:51:00,753 South St,Boston,MA
183220,Vareebadd Phone,1,400.0,2021-01-25 22:17:00,958 Chestnut St,Atlanta,GA
183239,Bose SoundSport Headphones,1,99.99,2021-01-16 23:39:00,459 7th St,Los Angeles,CA
183240,Apple Airpods Headphones,1,150.0,2021-01-18 08:13:00,367 Chestnut St,Austin,TX
183246,27in FHD Monitor,1,149.99,2021-01-13 17:02:00,567 Jackson St,Portland,OR
183261,Lightning Charging Cable,1,14.95,2021-01-01 17:05:00,85 South St,Atlanta,GA
183264,34in Ultrawide Monitor,1,379.99,2021-01-14 12:12:00,927 River St,Los Angeles,CA
183270,Google Phone,1,600.0,2021-01-02 17:17:00,616 9th St,New York City,NY
183274,AAA Batteries (4-pack),4,2.99,2021-01-06 21:28:00,740 4th St,Boston,MA
183276,Lightning Charging Cable,1,14.95,2021-01-23 17:47:00,587 Lincoln St,Boston,MA
183281,Apple Airpods Headphones,1,150.0,2021-01-28 10:36:00,720 2nd St,Seattle,WA
183282,Bose SoundSport Headphones,1,99.99,2021-01-24 14:03:00,623 Highland St,San Francisco,CA
183285,Wired Headphones,1,11.99,2021-01-29 15:06:00,585 Jackson St,Los Angeles,CA
183289,USB-C Charging Cable,2,11.95,2021-01-27 14:26:00,271 Lakeview St,New York City,NY
183293,Google Phone,1,600.0,2021-01-11 17:45:00,509 Jackson St,New York City,NY
183294,AA Batteries (4-pack),4,3.84,2021-01-29 13:12:00,67 Lake St,Los Angeles,CA
183296,Bose SoundSport Headphones,1,99.99,2021-01-16 18:50:00,386 Lake St,Boston,MA
183299,Bose SoundSport Headphones,1,99.99,2021-01-04 22:15:00,492 Park St,San Francisco,CA
183311,Wired Headphones,2,11.99,2021-01-05 18:31:00,148 Cedar St,Los Angeles,CA
183311,Bose SoundSport Headphones,1,99.99,2021-01-05 18:31:00,148 Cedar St,Los Angeles,CA
183322,Flatscreen TV,1,300.0,2021-01-10 18:36:00,845 Park St,Boston,MA
183327,Wired Headphones,2,11.99,2021-01-12 19:09:00,435 8th St,Dallas,TX
183329,Macbook Pro Laptop,1,1700.0,2021-01-25 18:09:00,918 5th St,San Francisco,CA
183331,USB-C Charging Cable,2,11.95,2021-01-25 13:59:00,569 Forest St,San Francisco,CA
183334,27in 4K Gaming Monitor,1,389.99,2021-01-31 13:51:00,348 Washington St,Boston,MA
183336,Wired Headphones,2,11.99,2021-01-02 18:06:00,374 12th St,San Francisco,CA
183357,USB-C Charging Cable,2,11.95,2021-01-14 16:13:00,536 13th St,Boston,MA
183372,20in Monitor,1,109.99,2021-01-15 10:34:00,137 Cedar St,Boston,MA
183375,Lightning Charging Cable,2,14.95,2021-01-30 00:03:00,136 Madison St,San Francisco,CA
183388,AAA Batteries (4-pack),2,2.99,2021-01-17 09:43:00,644 Hill St,Los Angeles,CA
183394,27in 4K Gaming Monitor,1,389.99,2021-01-26 21:39:00,633 Washington St,San Francisco,CA
183400,AA Batteries (4-pack),2,3.84,2021-01-15 22:22:00,25 Center St,San Francisco,CA
183415,ThinkPad Laptop,1,999.99,2021-01-08 14:32:00,155 Church St,San Francisco,CA
183417,Bose SoundSport Headphones,1,99.99,2021-01-25 00:13:00,330 South St,Seattle,WA
183433,AAA Batteries (4-pack),4,2.99,2021-01-27 14:31:00,996 Elm St,Boston,MA
183438,USB-C Charging Cable,2,11.95,2021-01-29 14:21:00,606 8th St,Atlanta,GA
183440,AA Batteries (4-pack),4,3.84,2021-01-28 15:04:00,887 Meadow St,San Francisco,CA
183451,iPhone,1,700.0,2021-01-06 10:03:00,826 Church St,New York City,NY
183452,AA Batteries (4-pack),2,3.84,2021-01-29 16:32:00,124 8th St,Seattle,WA
183456,Macbook Pro Laptop,1,1700.0,2021-01-17 21:42:00,757 1st St,Los Angeles,CA
183457,USB-C Charging Cable,2,11.95,2021-01-19 13:04:00,674 Hill St,San Francisco,CA
183465,Wired Headphones,2,11.99,2021-01-26 22:15:00,863 Johnson St,Los Angeles,CA
183468,Apple Airpods Headphones,1,150.0,2021-01-28 14:43:00,846 14th St,Los Angeles,CA
183476,USB-C Charging Cable,1,11.95,2021-01-26 16:14:00,2 North St,San Francisco,CA
183483,Lightning Charging Cable,2,14.95,2021-01-01 10:58:00,436 Pine St,Dallas,TX
183484,USB-C Charging Cable,1,11.95,2021-01-26 19:29:00,152 1st St,Boston,MA
183488,USB-C Charging Cable,2,11.95,2021-01-15 20:23:00,617 9th St,Boston,MA
183489,Wired Headphones,2,11.99,2021-01-10 09:58:00,696 Meadow St,Dallas,TX
183510,Google Phone,1,600.0,2021-01-06 12:04:00,567 Elm St,New York City,NY
183510,Wired Headphones,2,11.99,2021-01-06 12:04:00,567 Elm St,New York City,NY
183512,AAA Batteries (4-pack),2,2.99,2021-01-07 20:10:00,731 Willow St,New York City,NY
183515,AAA Batteries (4-pack),8,2.99,2021-01-24 20:16:00,179 North St,Los Angeles,CA
183525,USB-C Charging Cable,1,11.95,2021-01-06 15:02:00,842 8th St,Los Angeles,CA
183536,27in 4K Gaming Monitor,1,389.99,2021-01-18 09:21:00,118 14th St,Los Angeles,CA
183537,Macbook Pro Laptop,1,1700.0,2021-01-21 15:40:00,858 Elm St,Austin,TX
183544,27in FHD Monitor,1,149.99,2021-01-12 19:02:00,736 Johnson St,Dallas,TX
183553,AAA Batteries (4-pack),2,2.99,2021-01-15 18:12:00,153 Pine St,New York City,NY
183557,Google Phone,1,600.0,2021-01-22 17:50:00,446 Jefferson St,San Francisco,CA
183557,USB-C Charging Cable,1,11.95,2021-01-22 17:50:00,446 Jefferson St,San Francisco,CA
183562,USB-C Charging Cable,2,11.95,2021-01-17 10:30:00,738 North St,Los Angeles,CA
183568,USB-C Charging Cable,1,11.95,2021-01-13 00:06:00,482 4th St,San Francisco,CA
183572,AAA Batteries (4-pack),6,2.99,2021-01-22 10:06:00,623 Park St,New York City,NY
183579,Flatscreen TV,1,300.0,2021-01-10 15:26:00,366 2nd St,New York City,NY
183595,Wired Headphones,2,11.99,2021-01-08 09:33:00,738 Dogwood St,Los Angeles,CA
183600,Google Phone,1,600.0,2021-01-26 21:37:00,352 Park St,San Francisco,CA
183601,AAA Batteries (4-pack),4,2.99,2021-01-08 17:35:00,556 Cedar St,Austin,TX
183608,iPhone,1,700.0,2021-01-25 20:08:00,520 4th St,Los Angeles,CA
183636,USB-C Charging Cable,1,11.95,2021-01-05 18:36:00,619 10th St,San Francisco,CA
183641,AAA Batteries (4-pack),2,2.99,2021-01-12 00:33:00,810 1st St,New York City,NY
183643,Bose SoundSport Headphones,1,99.99,2021-01-06 18:35:00,902 River St,Los Angeles,CA
183647,Lightning Charging Cable,2,14.95,2021-01-25 11:05:00,720 Maple St,San Francisco,CA
183662,Bose SoundSport Headphones,1,99.99,2021-01-10 12:02:00,36 14th St,Atlanta,GA
183670,Apple Airpods Headphones,1,150.0,2021-01-28 18:24:00,965 Elm St,Seattle,WA
183671,Wired Headphones,2,11.99,2021-01-12 16:23:00,858 Washington St,Austin,TX
183679,Bose SoundSport Headphones,1,99.99,2021-01-09 19:31:00,582 Pine St,New York City,NY
183681,USB-C Charging Cable,2,11.95,2021-01-02 23:24:00,250 Washington St,Los Angeles,CA
183686,Bose SoundSport Headphones,1,99.99,2021-01-30 18:57:00,434 Lincoln St,Portland,OR
183700,AAA Batteries (4-pack),4,2.99,2021-01-28 22:22:00,695 8th St,Dallas,TX
183702,Bose SoundSport Headphones,1,99.99,2021-01-17 13:19:00,551 Madison St,San Francisco,CA
183706,USB-C Charging Cable,1,11.95,2021-01-30 12:46:00,842 Spruce St,Los Angeles,CA
183712,Flatscreen TV,1,300.0,2021-01-19 12:45:00,898 7th St,San Francisco,CA
183714,AA Batteries (4-pack),2,3.84,2021-01-03 18:00:00,48 13th St,Boston,MA
183721,AAA Batteries (4-pack),2,2.99,2021-01-06 02:57:00,98 West St,New York City,NY
183724,Apple Airpods Headphones,1,150.0,2021-01-10 17:27:00,137 6th St,Los Angeles,CA
183728,AA Batteries (4-pack),2,3.84,2021-01-04 10:39:00,990 Ridge St,Los Angeles,CA
183732,AA Batteries (4-pack),1,3.84,2021-01-10 18:34:00,977 Wilson St,New York City,NY
183745,27in FHD Monitor,1,149.99,2021-01-29 13:34:00,629 Chestnut St,New York City,NY
183745,Flatscreen TV,1,300.0,2021-01-29 13:34:00,629 Chestnut St,New York City,NY
183748,Lightning Charging Cable,1,14.95,2021-01-25 07:53:00,163 Adams St,San Francisco,CA
183757,Bose SoundSport Headphones,1,99.99,2021-01-11 12:08:00,800 Pine St,New York City,NY
183758,27in 4K Gaming Monitor,1,389.99,2021-01-03 09:34:00,88 Jackson St,San Francisco,CA
183759,AAA Batteries (4-pack),4,2.99,2021-01-11 19:14:00,627 North St,Seattle,WA
183762,ThinkPad Laptop,1,999.99,2021-01-10 16:35:00,747 North St,San Francisco,CA
183779,iPhone,1,700.0,2021-01-01 12:00:00,597 Church St,Los Angeles,CA
183784,34in Ultrawide Monitor,1,379.99,2021-01-05 14:17:00,644 Washington St,Seattle,WA
183803,Flatscreen TV,1,300.0,2021-01-24 22:28:00,834 Spruce St,Los Angeles,CA
183804,27in FHD Monitor,1,149.99,2021-01-10 17:12:00,837 Hickory St,Los Angeles,CA
183809,Bose SoundSport Headphones,1,99.99,2021-01-04 17:51:00,423 13th St,Los Angeles,CA
183811,AAA Batteries (4-pack),4,2.99,2021-01-04 18:11:00,553 Pine St,Los Angeles,CA
183813,Wired Headphones,1,11.99,2021-01-20 18:37:00,900 14th St,Los Angeles,CA
183830,Bose SoundSport Headphones,1,99.99,2021-01-20 10:02:00,898 Madison St,Atlanta,GA
183832,Wired Headphones,1,11.99,2021-01-17 17:18:00,250 Lakeview St,Los Angeles,CA
183841,Bose SoundSport Headphones,1,99.99,2021-01-18 20:29:00,305 14th St,Austin,TX
183844,Wired Headphones,1,11.99,2021-01-22 15:16:00,134 Willow St,Portland,ME
183854,Lightning Charging Cable,2,14.95,2021-01-02 19:14:00,155 10th St,San Francisco,CA
183856,AAA Batteries (4-pack),4,2.99,2021-01-18 23:42:00,485 Hill St,Austin,TX
183871,Apple Airpods Headphones,1,150.0,2021-01-11 23:18:00,18 Jefferson St,San Francisco,CA
183872,AAA Batteries (4-pack),2,2.99,2021-01-10 22:49:00,922 4th St,Portland,OR
183877,Lightning Charging Cable,2,14.95,2021-01-25 09:50:00,767 Johnson St,Los Angeles,CA
183879,Bose SoundSport Headphones,1,99.99,2021-01-30 22:10:00,587 Maple St,Los Angeles,CA
183897,AAA Batteries (4-pack),2,2.99,2021-01-24 17:10:00,445 Dogwood St,Boston,MA
183899,AAA Batteries (4-pack),2,2.99,2021-01-28 10:14:00,969 North St,Los Angeles,CA
183902,Flatscreen TV,1,300.0,2021-01-26 18:57:00,996 10th St,San Francisco,CA
183910,20in Monitor,1,109.99,2021-01-10 20:47:00,308 Chestnut St,New York City,NY
183917,USB-C Charging Cable,1,11.95,2021-01-01 14:04:00,457 Highland St,New York City,NY
183923,Bose SoundSport Headphones,1,99.99,2021-01-16 00:09:00,786 Wilson St,Boston,MA
183927,Bose SoundSport Headphones,1,99.99,2021-01-04 17:12:00,700 Center St,San Francisco,CA
183928,Apple Airpods Headphones,1,150.0,2021-01-15 20:37:00,569 Center St,Atlanta,GA
183936,USB-C Charging Cable,2,11.95,2021-01-14 22:53:00,289 Park St,Atlanta,GA
183955,34in Ultrawide Monitor,1,379.99,2021-01-15 17:34:00,174 Cherry St,San Francisco,CA
183966,Bose SoundSport Headphones,1,99.99,2021-01-29 18:24:00,898 8th St,Boston,MA
183968,USB-C Charging Cable,2,11.95,2021-01-08 14:22:00,460 Adams St,Los Angeles,CA
183977,AA Batteries (4-pack),4,3.84,2021-01-02 08:55:00,25 Pine St,San Francisco,CA
183978,USB-C Charging Cable,2,11.95,2021-01-01 11:28:00,738 Cherry St,Boston,MA
183982,AA Batteries (4-pack),4,3.84,2021-01-09 13:48:00,634 Maple St,Portland,OR
183983,Bose SoundSport Headphones,1,99.99,2021-01-05 21:40:00,243 Cherry St,New York City,NY
183992,AA Batteries (4-pack),4,3.84,2021-01-20 19:51:00,69 Sunset St,New York City,NY
183999,USB-C Charging Cable,2,11.95,2021-01-26 01:07:00,153 Ridge St,Seattle,WA
184006,Lightning Charging Cable,2,14.95,2021-01-13 12:20:00,238 8th St,Los Angeles,CA
184007,Wired Headphones,2,11.99,2021-01-15 22:58:00,549 Elm St,Atlanta,GA
184018,Wired Headphones,2,11.99,2021-01-18 23:24:00,162 9th St,Los Angeles,CA
184023,27in FHD Monitor,1,149.99,2021-01-06 17:24:00,76 7th St,San Francisco,CA
184025,27in 4K Gaming Monitor,1,389.99,2021-01-25 12:06:00,610 South St,Los Angeles,CA
184031,20in Monitor,1,109.99,2021-01-21 15:33:00,91 Johnson St,San Francisco,CA
184040,Bose SoundSport Headphones,1,99.99,2021-01-22 14:45:00,834 Hickory St,Atlanta,GA
184042,Bose SoundSport Headphones,1,99.99,2021-01-04 17:43:00,365 Highland St,San Francisco,CA
184049,AAA Batteries (4-pack),8,2.99,2021-01-20 09:55:00,473 Forest St,San Francisco,CA
184052,Flatscreen TV,1,300.0,2021-01-28 10:25:00,688 Ridge St,Seattle,WA
184060,Lightning Charging Cable,1,14.95,2021-01-15 21:01:00,325 1st St,Seattle,WA
184078,USB-C Charging Cable,2,11.95,2021-01-23 00:32:00,176 Hickory St,Seattle,WA
184089,AAA Batteries (4-pack),2,2.99,2021-01-11 16:23:00,276 12th St,Los Angeles,CA
184092,AAA Batteries (4-pack),4,2.99,2021-01-29 11:33:00,781 Elm St,San Francisco,CA
184097,Apple Airpods Headphones,1,150.0,2021-01-29 16:02:00,369 Jackson St,San Francisco,CA
184099,20in Monitor,1,109.99,2021-01-13 12:44:00,220 Jackson St,Dallas,TX
184111,Bose SoundSport Headphones,1,99.99,2021-01-11 11:12:00,407 Forest St,Los Angeles,CA
184128,Apple Airpods Headphones,1,150.0,2021-01-17 19:46:00,463 Pine St,Dallas,TX
184128,27in FHD Monitor,1,149.99,2021-01-17 19:46:00,463 Pine St,Dallas,TX
184129,Wired Headphones,1,11.99,2021-01-11 19:33:00,476 6th St,Atlanta,GA
184132,Bose SoundSport Headphones,1,99.99,2021-01-03 17:16:00,82 Willow St,San Francisco,CA
184133,Lightning Charging Cable,1,14.95,2021-01-20 16:27:00,398 Elm St,Boston,MA
184133,27in 4K Gaming Monitor,1,389.99,2021-01-20 16:27:00,398 Elm St,Boston,MA
184135,AA Batteries (4-pack),4,3.84,2021-01-30 20:47:00,628 4th St,Seattle,WA
184143,AAA Batteries (4-pack),2,2.99,2021-01-22 08:48:00,679 Wilson St,San Francisco,CA
184145,Apple Airpods Headphones,1,150.0,2021-01-17 16:09:00,233 River St,Austin,TX
184152,27in FHD Monitor,1,149.99,2021-01-27 08:34:00,117 Elm St,San Francisco,CA
184154,AA Batteries (4-pack),4,3.84,2021-01-25 10:50:00,210 Jefferson St,Portland,OR
184158,USB-C Charging Cable,2,11.95,2021-01-17 11:00:00,384 Walnut St,San Francisco,CA
184162,Bose SoundSport Headphones,1,99.99,2021-01-29 22:18:00,164 Washington St,Dallas,TX
184170,Macbook Pro Laptop,1,1700.0,2021-01-28 20:43:00,382 13th St,New York City,NY
184182,Wired Headphones,1,11.99,2021-01-01 10:50:00,664 Jefferson St,New York City,NY
184189,AA Batteries (4-pack),2,3.84,2021-01-20 20:08:00,57 10th St,Portland,OR
184191,AA Batteries (4-pack),2,3.84,2021-01-09 09:10:00,372 Willow St,Seattle,WA
